148 7.2454e-11 13.408 0.024622 83.302 0.0069927 2.1499e+09 1.3837
149 5.932e-11 12.5 0.022318 83.086 0.0065855 2.15e+09 1.3428
150 4.8567e-11 11.653 0.020234 82.872 0.006202 2.15e+09 1.3031
151 3.9764e-11 10.864 0.018349 82.658 0.0058408 2.15e+09 1.2646
152 3.2556e-11 10.128 0.016643 82.446 0.0055007 2.15e+09 1.2272
153 2.6655e-11 9.442 0.015099 82.235 0.0051804 2.15e+09 1.191
154 2.1823e-11 8.8025 0.013703 82.026 0.0048787 2.15e+09 1.1558
155 1.7867e-11 8.2065 0.01244 81.817 0.0045946 2.15e+09 1.1216
156 1.4629e-11 7.6508 0.011297 81.61 0.004327 2.15e+09 1.0884
157 1.1977e-11 7.1327 0.010263 81.404 0.004075 2.15e+09 1.0563
158 9.8059e-12 6.6498 0.0093276 81.199 0.0038377 2.15e+09 1.0251
159 8.0284e-12 6.1996 0.0084812 80.995 0.0036142 2.15e+09 0.99477
160 6.5731e-12 5.7799 0.0077154 80.792 0.0034037 2.15e+09 0.96537
161 5.3816e-12 5.3886 0.0070224 80.591 0.0032055 2.15e+09 0.93684
162 4.4061e-12 5.0238 0.0063954 80.391 0.0030188 2.15e+09 0.90915
163 3.6074e-12 4.6837 0.0058281 80.191 0.002843 2.15e+09 0.88228
164 2.9535e-12 4.3667 0.0053147 79.993 0.0026775 2.15e+09 0.8562
165 2.4181e-12 4.0711 0.0048502 79.796 0.0025215 2.15e+09 0.8309
166 1.9798e-12 3.7956 0.0044298 79.601 0.0023747 2.15e+09 0.80634
167 1.6209e-12 3.5387 0.0040494 79.406 0.0022364 2.15e+09 0.78251
168 1.3271e-12 3.2992 0.0037052 79.212 0.0021062 2.15e+09 0.75938
169 1.0866e-12 3.0759 0.0033936 79.02 0.0019835 2.15e+09 0.73694
170 8.896e-13 2.8677 0.0031116 78.828 0.001868 2.15e+09 0.71516
171 7.2835e-13 2.6736 0.0028564 78.638 0.0017592 2.15e+09 0.69403
172 5.9632e-13 2.4927 0.0026255 78.449 0.0016568 2.15e+09 0.67351
173 4.8823e-13 2.324 0.0024164 78.261 0.0015603 2.15e+09 0.65361
174 3.9973e-13 2.1668 0.0022271 78.074 0.0014694 2.15e+09 0.63429
175 3.2727e-13 2.0201 0.0020558 77.887 0.0013839 2.15e+09 0.61554
176 2.6795e-13 1.8835 0.0019007 77.702 0.0013033 2.15e+09 0.59735
177 2.1938e-13 1.756 0.0017603 77.518 0.0012274 2.15e+09 0.5797
178 1.7961e-13 1.6372 0.0016332 77.335 0.0011559 2.15e+09 0.56257
179 1.4705e-13 1.5264 0.0015181 77.154 0.0010886 2.15e+09 0.54594
180 1.204e-13 1.4231 0.0014138 76.973 0.0010252 2.15e+09 0.5298
181 9.8574e-14 1.3269 0.0013194 76.793 0.00096548 2.15e+09 0.51415
182 8.0706e-14 1.2371 0.0012339 76.614 0.00090926 2.15e+09 0.49895
183 6.6077e-14 1.1534 0.0011565 76.436 0.00085631 2.15e+09 0.4842
184 5.4099e-14 1.0754 0.0010863 76.259 0.00080644 2.15e+09 0.46989
185 4.4293e-14 1.0026 0.0010227 76.083 0.00075948 2.15e+09 0.45601
186 3.6264e-14 0.93479 0.00096511 75.908 0.00071525 2.15e+09 0.44253
187 2.969e-14 0.87156 0.00091289 75.735 0.00067359 2.15e+09 0.42945
188 2.4309e-14 0.8126 0.00086556 75.562 0.00063437 2.15e+09 0.41676
189 1.9902e-14 0.75763 0.00082265 75.39 0.00059742 2.15e+09 0.40444
190 1.6295e-14 0.70638 0.00078373 75.219 0.00056263 2.15e+09 0.39249
191 1.3341e-14 0.6586 0.00074844 75.049 0.00052987 2.15e+09 0.38089
192 1.0923e-14 0.61405 0.00071641 74.88 0.00049901 2.15e+09 0.36963
193 8.9428e-15 0.57251 0.00068735 74.711 0.00046995 2.15e+09 0.35871
194 7.3217e-15 0.53379 0.00066097 74.544 0.00044258 2.15e+09 0.34811
195 5.9946e-15 0.49768 0.00063702 74.378 0.00041681 2.15e+09 0.33782
196 4.9079e-15 0.46402 0.00061526 74.213 0.00039254 2.15e+09 0.32783
197 4.0183e-15 0.43263 0.00059549 74.048 0.00036968 2.15e+09 0.31815
198 3.2899e-15 0.40337 0.00057751 73.885 0.00034815 2.15e+09 0.30874
199 2.6936e-15 0.37609 0.00056117 73.722 0.00032787 2.15e+09 0.29962
200 2.2053e-15 0.35065 0.00054629 73.56 0.00030878 2.15e+09 0.29076
